title,url,views,year,image_url,content
круг на заводе треугольников,https://memepedia.ru/krug-na-zavode-treugolnikov/,19600,2024,https://memepedia.ru/wp-content/uploads/2024/08/sinij-krug-krasnyj-treugolnik-mem-360x270.jpg,"Круг на заводе треугольников (Похоже теперь мы делаем круги, A Circle In the Triangle Factory, I Guess We Doin Circles Now) – мем на основе комикса с работниками завода по производству треугольников. Когда на конвейере появляется круг, один сотрудник удивляется, а другой принимает ситуацию."
дуров во франции,https://memepedia.ru/delo-protiv-durova/,4100,2024,https://memepedia.ru/wp-content/uploads/2024/08/free-durov-360x270.jpg,"Дуров во Франции – серия мемов про скандальное задержание Павла Дурова в Париже, уголовное расследование и последующее освобождение под залог. Событие затронуло мировое сообщество, бизнесмен нашел поддержку среди разных слоев населения. Про Дурова, его пребывание под стражей и противостояние с французами публикуют острые шутки и мемы."
твари какието где наше правительство,https://memepedia.ru/tvari-kakie-to-gde-nashe-pravitelstvo/,4600,2024,https://memepedia.ru/wp-content/uploads/2024/08/tvari-360x270.jpg,"Твари какие-то, где наше правительство – мемный трек, составленный из голосов жительниц Курской области во время нападения ВСУ летом 2024 года. Женщины жалуются, что по телевизору врут, что им не оказана должная помощь, обращаются к Путину. Украинцы и их сторонники используют трек для поднятия духа."
желтый конь на карусели,https://memepedia.ru/zheltyj-kon-na-karuseli/,7700,2024,https://memepedia.ru/wp-content/uploads/2024/08/zheltaja-loshad-mem-360x270.jpg,"Желтый конь на карусели (Yellow ugly horse, Yellow carousel horse) – мем с кадром из фильма “Время жить”, на котором герои Эндрю Гарфилда и Флоренс Пью катаются на карусели. В кадр попала морда желтой лошади, которая многим показалась упоротой и смешной."
женщина мечется,https://memepedia.ru/zhenshhina-mechetsya/,5400,2024,https://memepedia.ru/wp-content/uploads/2024/08/babka-360x270.jpg,"Женщина мечется (Женщина вертится, Растерянная женщина) – мем с женщиной в белой футболке, которая крутится, шатается и бросается в разные стороны. На фоне играет ритмичная, звенящая музыка. Все вместе создает эффект тревожности. Мем показывает ситуации, когда человек волнуется и не знает, за что хвататься."
чернобелый клоун улыбается,https://memepedia.ru/cherno-belyj-kloun-ulybaetsya/,3700,2024,https://memepedia.ru/wp-content/uploads/2024/08/snimok-ekrana-2024-08-26-115203-360x270.png,"Черно-белый клоун улыбается (Art the Clown Grinning, Art the Clown Smiling) – мем, основанный на сцене из слэшера “Ужасающий 2”. Черно-белый клоун-убийца Арт сначала изображает шок, а затем хитро улыбается. В конце мая 2024 года эта сцена стала вирусной на TikTok, где её стали использовать как основу для создания мемов."
турецкий стрелок,https://memepedia.ru/tureckij-strelok/,9900,2024,https://memepedia.ru/wp-content/uploads/2024/08/gt12mbgwuaa7r0s-–-kopija-360x270.jpeg,"Турецкий стрелок на Олимпиаде – мем про представителя Турции на Олимпиаде 2024 в Париже. 51-летний Юсуф Дикеч (Yusuf Dikeç), в отличие от других стрелков, вышел в простой футболке, без линз и других технических приспособлений, и получил серебряную медаль за стрельбу из пистолета. Пользователям сети понравился расслабленный вайб турка, с ним делают мемы и арты."
вы будете кушать угощения,https://memepedia.ru/vy-budete-kushat-ugoshheniya/,6600,2024,https://memepedia.ru/wp-content/uploads/2024/07/ugoshchenija-360x270.jpg,"Вы будете кушать угощения – аудиомем, в котором человек смешным тонким голосом, коверкая слова предлагает кому-то угощения. Мем обыгрывает разные ситуации с едой или передачей чего-то кому-то. Речь может идти не только про материальные предметы, но и например про эмоции или психологические травмы."
пока ты пиздел,https://memepedia.ru/poka-ty-pizdel/,7100,2024,https://memepedia.ru/wp-content/uploads/2024/07/poka-ty-pizdel-360x270.jpg,"Пока ты пиздел – мем из Тиктока, основанный на песне Ольги Бузовой “Без дел”. В треке поется “Пока ты без дел”, но слышится “пиздел”, из-за этого создается комический эффект. Пользователи используют звук для различных юмористических ситуаций."
оплата у психолога прошла,https://memepedia.ru/oplata-u-psixologa-proshla/,4300,2024,https://memepedia.ru/wp-content/uploads/2024/07/1848935756_0_45_3070_1772_1920x0_80_0_0_7565313e6e5ddce6961fe9422d3d1387-360x270.jpg,"Оплата у психолога прошла/не прошла – мем про то, как люди справляются с психологическими травмами и трудными ситуациями в жизни. Оплата не прошла значит, что человеку приходится самому сталкиваться с проблемами. Если оплата прошла, то наоборот – у человека все хорошо."
это было в россии,https://memepedia.ru/eto-bylo-v-rossii/,3200,2024,https://memepedia.ru/wp-content/uploads/2024/07/maxresdefault-360x270.jpg,"Это было в России, значит было давно – строчка из песни Лизы Монеточки, ставшая своеобразным гимном российских эмигрантов. Люди, уехавшие из своей страны, публикуют видео и фото разных моментов жизни. Также появляются подборки полиитических и общественных событий. Тренд показывает, какой была Россия до войны с Украиной."
мужчина или медведь,https://memepedia.ru/muzhchina-ili-medved/,1700,2024,https://memepedia.ru/wp-content/uploads/2024/07/fonstola.ru_352235-360x270.jpg,"Мужчина или медведь – мем, основанный на уличном опросе. Женщин спросили, с кем бы они предпочли оказаться в лесу наедине: с мужчиной или с медведем. Большинство выбрали медведя. С ними согласились многие дамы в интернете. Это подняло большую дискуссию о насилии, с которым сталкиваются женщины."
арсен маркарян,https://memepedia.ru/arsen-markaryan/,26100,2024,https://memepedia.ru/wp-content/uploads/2024/06/markarjan-pro-zhenshchin-360x270.jpg,"Арсен Маркарян – российский блогер и инфоцыган, известный в сети своими высказывания против женщин. В середине июня 2024 года неожиданно всплыл в инфополе, чем породил множество шуток и мемов."
молчать сейчас говорит,https://memepedia.ru/molchat-sejchas-govorit/,18700,2024,https://memepedia.ru/wp-content/uploads/2024/06/silence-meme-is-talking-360x270.jpg,"Молчать, сейчас говорит (Silence X is talking, King Baldwin IV Hand Raise) – мем с королем в маске, который поднимает правую руку. Используется в ироничном ключе, чтобы показать превосходство чего-то или кого-то."
скукоживающий лимон,https://memepedia.ru/skukozhivayushhij-limon/,8500,2024,https://memepedia.ru/wp-content/uploads/2024/05/skukozhivajushchij-limon-360x270.jpg,"Скукоживающий лимон – мем с разными персонажами, которые лижут лимон, после чего их скукоживает из-за кислости."
евгений   что за мужчина с сайта знакомств и как он стал мемом,https://memepedia.ru/evgenij-42/,12900,2024,https://memepedia.ru/wp-content/uploads/2024/05/evgenij-42-mem-360x270.jpg,"Евгений 42 – новый мем в русскоязычном твиттере. Скрин с его фотографией с сайта знакомств опубликовала пользовательница Арошка. И хотя ее пост был написан в негативном ключе, мужчину стали защищать другие юзеры."
адвокат и девушка в суде,https://memepedia.ru/advokat-i-devushka-v-sude/,10200,2024,https://memepedia.ru/wp-content/uploads/2024/04/advokat-dome-mem-360x270.jpg,"Адвокат и девушка в суде – мем с картиной 19 века, на которой адвокат двумя руками показывает на женщину. Используется в Тиктоке для иллюстрации женской логики и странных аргументов."
наш слон,https://memepedia.ru/nash-slon/,55700,2024,https://memepedia.ru/wp-content/uploads/2024/04/nash-slon-360x270.jpg,"Наш слон (Слоняра) – мемная фраза, популярная в Z-сообществах и среди тех, кто придерживается консервативных взглядов. Так обычно называют людей со схожими политическими убеждениями."
можно я с тобой,https://memepedia.ru/mozhno-ya-s-toboj/,8200,2024,https://memepedia.ru/wp-content/uploads/2024/04/mozhno-ja-s-toboj-pesnja-mem-360x270.jpg,"Можно я с тобой – песня музыканта AP$ENT, которая завирусилась в Тиктоке и стала мемным гимном бездомных животных. При этом текст песни связан с политическими событиями, о которых рассказал сам автор."
харконнены смеются,https://memepedia.ru/xarkonneny-smeyutsya/,8600,2024,https://memepedia.ru/wp-content/uploads/2024/04/mem-harkonenny-smejutsja-360x270.jpg,"Харконнены смеются (laughing Harkonnens) – мем с тремя актерами в образах персонажей фильма “Дюна: Часть 2”, которые смеются в перерыве между съемками. Закулисное фото контрастирует с их киношными образами, на этом строится множество шуток."
педро педро педро,https://memepedia.ru/pedro-pedro-pedro/,12300,2024,https://memepedia.ru/wp-content/uploads/2024/04/enot-pedro-pedro-pedro-768x566-2-360x270.png,"Педро педро педро (енот в кружочке, енот танцует) – мемный тренд, в котором енот танцует под песню Pedro. Мем используют, чтобы показать хорошее настроение и радость."
ребята плохие новости зиганул,https://memepedia.ru/rebyata-ploxie-novosti-ziganul/,7100,2024,https://memepedia.ru/wp-content/uploads/2024/03/ziganul-mem-360x270.jpg,"Ребята, плохие новости, зиганул… – мем с различными предметами и персонажами, у которых находят букву Z. На фоне войны в Украине этот символ считается показателем пророссийской пропаганды."
дюна   мемы про червя лисан альгаиб фрименов и лысого батлера,https://memepedia.ru/dyuna-2-memy/,13200,2024,https://memepedia.ru/wp-content/uploads/2024/03/mem-pro-djuna-2-360x270.jpg,"“Дюна 2” вышла в прокат 1 марта 2024 года. Долгожданный сиквел фильма Дени Вильнева получил высокие оценки. И почти сразу разошелся на мемы. Пользователи, посмотревшие картину, шутят про песчаного червя, Стилгара с его верой в порока и лысого Остина Батлера."
скуф масик тюбик классификация парней стала мемом,https://memepedia.ru/skuf-masik-tyubik-klassifikaciya-parnej-stala-memom/,24200,2024,https://memepedia.ru/wp-content/uploads/2024/03/skuf-tjubik-360x270.jpg,"В соцсетях снова шутят над понятиями “скуф”, “масик”, “тюбик” и т.д. Основой нового мема стала табличка с ироничными типажами мужчин. Ее переделывают, распределяя термины между различными персонажами массовой культуры."
дырка от пододеяльника,https://memepedia.ru/dyrka-ot-pododeyalnika/,9300,2024,https://memepedia.ru/wp-content/uploads/2024/02/zapustili-doom-na-dyrke-ot-pododejalnika-360x270.jpg,"Дырка от пододеяльника (Умельцы смогли запустить) – абстрактный мем про дырку от пододеяльника. На картинках ромобвидную дырку пододеяльника сравнивают с экранами и порталами, делая отсылки к мему “Умельцы смогли запустить”."
грустный хомяк с большими глазами,https://memepedia.ru/grustnyj-xomyak-s-bolshimi-glazami/,31500,2024,https://memepedia.ru/wp-content/uploads/2024/02/grustnyj-homjak-360x270.jpg,"Грустный хомяк с большими глазами (Sad hamster, violin hamster) – мем из Тиктока, в котором хомяк с большими глазами смотрит в камеру под грустную музыку."
тоннель под синагогой,https://memepedia.ru/tonnel-pod-sinagogoj/,6900,2024,https://memepedia.ru/wp-content/uploads/2024/01/evrei-v-tonnele-360x270.jpg,"Тоннель под синагогой (Jewish tunnel, Synagogue tonnel) – серия мемов про секретный тоннель в Бруклине, ведущий в синагогу. Видео, на котором евреи-хасиды вылезают из люка в земле, стало вирусным. На его основе появились десятки мемов."
новогодний стол в моей семье,https://memepedia.ru/novogodnij-stol-v-moej-seme/,9400,2024,https://memepedia.ru/wp-content/uploads/2024/01/novogodnij-stol-mem-360x270.jpg,"Новогодний стол в моей семье – мем из твиттера, в котором используется шаблонный текст с разными картинками. Автор оригинала показал фейковое советское застолье, теперь его высмеивают."
